Case ID,Case Name,CVPD,Growth Rate (%),Design Life (years),VDF,LDF,CBR (%),Hand Calc MSA,RoadX MSA,Diff %,Hand Calc Mr (MPa),RoadX Mr (MPa),Mr Diff %,Total Thickness (mm),Layer Composition,Fatigue Status,Rutting Status,Workflow Status,MSA Pass/Fail,Reasonableness Pass/Fail,Risk Level,Engineering Remarks
1,Very low rural traffic,15.0,3.5,10,1.2,1.0,4.0,0.0771,0.0771,0.0000,40.00,40.00,0.0000,640,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (50mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (300mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,Low,Refusal gate verified (BLOCKED on missing EXE)
2,Low urban road,80.0,5.0,10,1.5,0.75,5.0,0.4132,0.4132,0.0000,50.00,50.00,0.0000,570,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (50mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (230mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,Low,Refusal gate verified (BLOCKED on missing EXE)
3,Medium district road,300.0,6.0,15,2.5,0.75,4.0,4.7788,4.7788,0.0000,40.00,40.00,0.0000,640,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (50mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (300mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,Low,Refusal gate verified (BLOCKED on missing EXE)
4,State highway,1200.0,7.0,15,3.5,0.5,6.0,19.2614,19.2614,0.0000,55.40,55.40,0.0000,620,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (100mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (230mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,Medium,Refusal gate verified (BLOCKED on missing EXE)
5,National highway moderate traffic,2500.0,7.5,15,4.5,0.5,5.0,53.6243,53.6243,0.0000,50.00,50.00,0.0000,710,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (190mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (230mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,Medium,Refusal gate verified (BLOCKED on missing EXE)
6,National highway heavy traffic,6000.0,8.0,20,5.2,0.45,4.5,234.5118,234.5118,0.0000,45.00,45.00,0.0000,780,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (190mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (300mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,High,Refusal gate verified (BLOCKED on missing EXE)
7,Industrial corridor,10000.0,8.5,20,6.0,0.45,5.0,476.7555,476.7555,0.0000,50.00,50.00,0.0000,710,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (190mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (230mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,High,Refusal gate verified (BLOCKED on missing EXE)
8,Port/warehouse road,15000.0,9.0,20,7.0,0.45,6.0,882.3202,882.3202,0.0000,55.40,55.40,0.0000,710,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (190mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (230mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,High,Refusal gate verified (BLOCKED on missing EXE)
9,High truck percentage case,8000.0,7.5,15,8.0,0.5,5.0,305.0625,305.0625,0.0000,50.00,50.00,0.0000,710,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (190mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (230mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,High,Refusal gate verified (BLOCKED on missing EXE)
10,Very high MSA expressway-like case,25000.0,8.5,25,6.5,0.4,5.5,1866.3934,1866.3934,0.0000,52.40,52.40,0.0000,710,"Bituminous Concrete (BC) (40mm), Dense Bituminous Macadam (DBM) (190mm), Wet Mix Macadam (WMM) (250mm), Granular Sub-base (GSB) (230mm)","WARN - IITPAVE ran, but fatigue verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.","WARN - IITPAVE ran, but rutting verdict was refused: Mechanistic result flagged placeholder mechanistic input (MechanisticResult.is_placeholder=True). Final verdict refused.",mechanistic_workflow_blocked,PASS,PASS,Very High,Refusal gate verified (BLOCKED on missing EXE)
